summary_level,bucket,config,l1_prefetcher,l2_prefetcher,traces,geomean_ipc,mean_ipc,geomean_speedup_vs_matching_no_l2,geomean_speedup_vs_l1_no_l2_no,total_l2_pf_issued,total_l2_pf_useful,total_l2_pf_accuracy
SUITE,gtrace_v2/charlie,1C.fullBW.l1_no.l2_ppf,no,ppf,22,0.719196,0.737482,0.998191,0.998191,649301,27320,0.042076
SUITE,gtrace_v2/delta,1C.fullBW.l1_no.l2_ppf,no,ppf,4,0.625485,0.64135,0.991156,0.991156,193212,12981,0.067185
SUITE,gtrace_v2/merced,1C.fullBW.l1_no.l2_ppf,no,ppf,89,0.541358,0.554596,0.9864,0.9864,3984774,110655,0.027769
SUITE,gtrace_v2/sierra.a.3,1C.fullBW.l1_no.l2_ppf,no,ppf,17,0.43545,0.446524,0.977235,0.977235,893865,11229,0.012562
SUITE,gtrace_v2/sierra.a.4,1C.fullBW.l1_no.l2_ppf,no,ppf,24,0.336206,0.339787,0.979157,0.979157,1282268,20982,0.016363
SUITE,gtrace_v2/sierra.a.6,1C.fullBW.l1_no.l2_ppf,no,ppf,18,0.43531,0.4404,0.969378,0.969378,1153819,25906,0.022452
SUITE,gtrace_v2/tahoe,1C.fullBW.l1_no.l2_ppf,no,ppf,40,0.510035,0.524693,0.987128,0.987128,1474666,82368,0.055855
SUITE,gtrace_v2/tango,1C.fullBW.l1_no.l2_ppf,no,ppf,51,0.558144,0.566602,0.980218,0.980218,2099340,20726,0.009873
SUITE,gtrace_v2/whiskey,1C.fullBW.l1_no.l2_ppf,no,ppf,2,0.410344,0.41065,1.002253,1.002253,71291,4477,0.062799
SUITE,gtrace_v2/yankee,1C.fullBW.l1_no.l2_ppf,no,ppf,82,0.484945,0.490765,0.969013,0.969013,3964429,84654,0.021353
SUITE,Graph/GAP,1C.fullBW.l1_no.l2_pythia,no,pythia,19,0.312247,0.363547,1.248734,1.248734,54823764,6138660,0.111971
SUITE,Graph/GMS,1C.fullBW.l1_no.l2_pythia,no,pythia,43,1.271371,1.437435,1.104868,1.104868,9798573,1377317,0.140563
SUITE,Graph/Ligra,1C.fullBW.l1_no.l2_pythia,no,pythia,17,1.19338,1.295794,1.745024,1.745024,18384545,3081776,0.167629
SUITE,SPEC17,1C.fullBW.l1_no.l2_pythia,no,pythia,92,1.571224,1.884426,1.267859,1.267859,78320324,13002143,0.166012
SUITE,ai-ml,1C.fullBW.l1_no.l2_pythia,no,pythia,80,1.574968,1.887121,1.12079,1.12079,261709887,36836986,0.140755
SUITE,gtrace_v2/arizona,1C.fullBW.l1_no.l2_pythia,no,pythia,6,1.428999,1.654683,1.328841,1.328841,1469711,228371,0.155385
SUITE,gtrace_v2/bravo,1C.fullBW.l1_no.l2_pythia,no,pythia,3,0.309277,0.311667,1.015706,1.015706,2100184,195611,0.09314
SUITE,gtrace_v2/charlie,1C.fullBW.l1_no.l2_pythia,no,pythia,22,0.79891,0.814091,1.108828,1.108828,6664404,822271,0.123383
SUITE,gtrace_v2/delta,1C.fullBW.l1_no.l2_pythia,no,pythia,4,0.744826,0.76775,1.180266,1.180266,2147837,561914,0.261619
SUITE,gtrace_v2/merced,1C.fullBW.l1_no.l2_pythia,no,pythia,89,0.591503,0.606273,1.077769,1.077769,36775038,3474465,0.094479
SUITE,gtrace_v2/sierra.a.3,1C.fullBW.l1_no.l2_pythia,no,pythia,17,0.447932,0.459124,1.005246,1.005246,5915690,521197,0.088104
SUITE,gtrace_v2/sierra.a.4,1C.fullBW.l1_no.l2_pythia,no,pythia,24,0.345321,0.3492,1.005703,1.005703,10757341,955408,0.088815
SUITE,gtrace_v2/sierra.a.6,1C.fullBW.l1_no.l2_pythia,no,pythia,18,0.461553,0.469722,1.027818,1.027818,10587970,1194651,0.112831
SUITE,gtrace_v2/tahoe,1C.fullBW.l1_no.l2_pythia,no,pythia,40,0.546222,0.572335,1.057164,1.057164,15100098,2609951,0.172843
SUITE,gtrace_v2/tango,1C.fullBW.l1_no.l2_pythia,no,pythia,51,0.566783,0.575031,0.995389,0.995389,12693735,1082894,0.085309
SUITE,gtrace_v2/whiskey,1C.fullBW.l1_no.l2_pythia,no,pythia,2,0.493846,0.49565,1.206204,1.206204,807892,134201,0.166113
SUITE,gtrace_v2/yankee,1C.fullBW.l1_no.l2_pythia,no,pythia,82,0.498733,0.505024,1.000758,1.000758,23031472,2643401,0.114773
SUITE,Graph/GAP,1C.fullBW.l1_no.l2_umama,no,umama,19,0.332258,0.388442,1.328764,1.328764,78674237,5463068,0.069439
SUITE,Graph/GMS,1C.fullBW.l1_no.l2_umama,no,umama,43,1.263612,1.43273,1.098125,1.098125,22459179,1305257,0.058117
SUITE,Graph/Ligra,1C.fullBW.l1_no.l2_umama,no,umama,17,1.26086,1.372576,1.843696,1.843696,51635472,3135505,0.060724
